COUNTY,ZIP,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01001,36749,JONES,AL,0.014029900,0.001455600,0.014000000,0.013204800
01001,36068,PRATTVILLE,AL,0.045796200,0.188258127,0.004000000,0.054473700
01001,36067,PRATTVILLE,AL,0.453736100,0.484716157,0.340000000,0.453958254
01001,36008,BOOTH,AL,0.001039250,0.001940810,0.000000000,0.001081840
01001,36022,DEATSVILLE,AL,0.080853570,0.014070800,0.014000000,0.075410462
01001,36091,VERBENA,AL,0.007829000,0.001455600,0.000000000,0.007286500
01001,36758,PLANTERSVILLE,AL,0.005854440,0.000970403,0.000000000,0.005441010
01001,36003,AUTAUGAVILLE,AL,0.034745600,0.016982000,0.030000000,0.033505200
01001,36051,MARBURY,AL,0.031073500,0.013585600,0.034000000,0.029973300
01001,36006,BILLINGSLEY,AL,0.017667200,0.004366810,0.010000000,0.016673000
01001,36066,PRATTVILLE,AL,0.302421450,0.265890344,0.554000000,0.304028255
01001,36703,SELMA,AL,0.004953750,0.006307620,0.000000000,0.004963730
01003,36535,FOLEY,AL,0.128346647,0.159064713,0.147001934,0.130857048
01003,36579,STOCKTON,AL,0.005885000,0.002058290,0.004255320,0.005582960
01003,36533,FAIRHOPE,AL,0.008549900,0.046599700,0.000773694,0.011183800
01003,36542,GULF SHORES,AL,0.105100555,0.064218673,0.126499033,0.102471519
01003,36567,ROBERTSDALE,AL,0.043409300,0.037131600,0.069245648,0.043352900
01003,36574,SEMINOLE,AL,0.005839280,0.001975960,0.005802710,0.005559130
01003,36562,PERDIDO,AL,0.005362470,0.001317310,0.008123800,0.005112260
01003,36526,DAPHNE,AL,0.120685038,0.164333937,0.123791103,0.123891749
01003,36527,DAPHNE,AL,0.052377200,0.059031800,0.067311412,0.053088800
01003,36530,ELBERTA,AL,0.035577800,0.017701300,0.025918800,0.034135300
01003,36559,MONTROSE,AL,0.005440850,0.009715100,0.000386847,0.005672340
01003,36555,MAGNOLIA SPRINGS,AL,0.004173720,0.000740985,0.003868470,0.003920590
01003,36549,LILLIAN,AL,0.023037100,0.005104560,0.001160540,0.021402400
01003,36580,SUMMERDALE,AL,0.027132400,0.024781800,0.025918800,0.026943600
01003,36511,BON SECOUR,AL,0.005277560,0.004445910,0.002321080,0.005171840
01003,36577,SPANISH FORT,AL,0.004944450,0.013996400,0.000773694,0.005535300
01003,36564,POINT CLEAR,AL,0.007446070,0.007986200,0.000386847,0.007376420
01003,36532,FAIRHOPE,AL,0.122141593,0.129672320,0.147001934,0.123069498
01003,36561,ORANGE BEACH,AL,0.109751079,0.086695208,0.106769826,0.108036608
01003,36536,FOLEY,AL,0.010111000,0.023464500,0.000773694,0.010933600
01003,36578,STAPLETON,AL,0.009928100,0.006339540,0.000386847,0.009521400
01003,36502,ATMORE,AL,0.000907897,0.000576321,0.000000000,0.000869918
01003,36480,URIAH,AL,0.000039190,0.000000000,0.000000000,0.000035750
01003,36507,BAY MINETTE,AL,0.064545627,0.061007700,0.085880077,0.064618190
01003,36547,GULF SHORES,AL,0.048360200,0.050716300,0.000773694,0.047797800
01003,36551,LOXLEY,AL,0.028889400,0.018606900,0.023597700,0.028063800
01003,36576,SILVERHILL,AL,0.015865300,0.002387620,0.021276600,0.014973300
01003,36550,LITTLE RIVER,AL,0.000875239,0.000329327,0.000000000,0.000822251
01005,36053,MIDWAY,AL,0.030771200,0.017316000,0.002500000,0.028773400
01005,36027,EUFAULA,AL,0.594804212,0.683982684,0.540000000,0.602695090
01005,36374,SKIPPERVILLE,AL,0.004350840,0.002705630,0.000000000,0.004086820
01005,36016,CLAYTON,AL,0.129201085,0.064935065,0.330000000,0.127077926
01005,36017,CLIO,AL,0.083611829,0.070346320,0.107500000,0.082785663
01005,36072,EUFAULA,AL,0.081467936,0.142316017,0.005000000,0.085988844
01005,36317,CLOPTON,AL,0.001450280,0.000541126,0.000000000,0.001325450
01005,36048,LOUISVILLE,AL,0.051642600,0.013528100,0.012500000,0.046887900
01005,36311,ARITON,AL,0.022700000,0.004329000,0.002500000,0.020378900
01007,35115,MONTEVALLO,AL,0.008615700,0.001610310,0.000000000,0.008103000
01007,36793,LAWLEY,AL,0.019554700,0.003220610,0.051282100,0.019087100
01007,35034,BRENT,AL,0.144046467,0.178743961,0.250000000,0.147474566
01007,35188,WOODSTOCK,AL,0.118102614,0.223832528,0.121794872,0.124065904
01007,35111,MC CALLA,AL,0.014424000,0.004830920,0.012820500,0.013865100
01007,36750,MAPLESVILLE,AL,0.004162630,0.001610310,0.000000000,0.003961470
01007,36792,RANDOLPH,AL,0.038722200,0.009661800,0.019230800,0.036823600
01007,35080,HELENA,AL,0.000580833,0.000000000,0.000000000,0.000540200
01007,35042,CENTREVILLE,AL,0.301548887,0.417069243,0.346153846,0.308634195
01007,35035,BRIERFIELD,AL,0.081316554,0.035426700,0.032051300,0.078058882
01007,35184,WEST BLOCTON,AL,0.268151016,0.120772947,0.166666667,0.258485640
01007,35456,DUNCANVILLE,AL,0.000774443,0.000000000,0.000000000,0.000720266
01007,35074,GREEN POND,AL,0.000000000,0.001610310,0.000000000,0.000090033
01007,36756,MARION,AL,0.000000000,0.001610310,0.000000000,0.000090033
01009,35976,GUNTERSVILLE,AL,0.007296450,0.000702741,0.004366810,0.006943530
01009,35063,EMPIRE,AL,0.009155600,0.003513700,0.006550220,0.008852200
01009,35133,REMLAP,AL,0.067597432,0.033731600,0.039301300,0.065585099
01009,35172,TRAFFORD,AL,0.039849900,0.023893200,0.032751100,0.038995700
01009,35097,LOCUST FORK,AL,0.028133400,0.040056200,0.017467200,0.028531000
01009,35952,ALTOONA,AL,0.058687300,0.073085032,0.026200900,0.058871900
01009,35980,HORTON,AL,0.024906200,0.009838400,0.006550220,0.023923900
01009,35031,BLOUNTSVILLE,AL,0.140421651,0.077301476,0.233624454,0.138870607
01009,35121,ONEONTA,AL,0.261584874,0.516514406,0.375545852,0.275240226
01009,35180,WARRIOR,AL,0.098852913,0.081517920,0.185589520,0.099348427
01009,35079,HAYDEN,AL,0.159294208,0.073085032,0.052401700,0.153646176
01009,35016,ARAB,AL,0.005928370,0.002108220,0.000000000,0.005660130
01009,35013,ALLGOOD,AL,0.000000000,0.000702741,0.000000000,0.000032908
01009,35146,SPRINGVILLE,AL,0.014382400,0.001405480,0.000000000,0.013558000
01009,35049,CLEVELAND,AL,0.067386958,0.055516500,0.015283800,0.066045808
01009,35126,PINSON,AL,0.008313700,0.004919180,0.000000000,0.008029500
01009,35957,BOAZ,AL,0.008208500,0.002108220,0.004366810,0.007864900
01011,36089,UNION SPRINGS,AL,0.683601962,0.874468085,0.812500000,0.699004176
01011,36031,FORT DAVIS,AL,0.000000000,0.002127660,0.000000000,0.000160617
01011,36830,AUBURN,AL,0.000350385,0.000000000,0.000000000,0.000321234
01011,36005,BANKS,AL,0.062018200,0.036170200,0.000000000,0.059588800
01011,36081,TROY,AL,0.035038500,0.010638300,0.000000000,0.032926400
01011,36053,MIDWAY,AL,0.137000701,0.053191500,0.166666667,0.130902666
01011,36029,FITZPATRICK,AL,0.073055361,0.014893600,0.020833300,0.068262127
01011,36052,MATHEWS,AL,0.004905400,0.004255320,0.000000000,0.004818500
01011,36860,HURTSBORO,AL,0.004029430,0.004255320,0.000000000,0.004015420
01013,36037,GREENVILLE,AL,0.662207073,0.880866426,0.428176796,0.674138584
01013,36071,RUTLEDGE,AL,0.003323390,0.000000000,0.000000000,0.002953430
01013,36032,FORT DEPOSIT,AL,0.020451600,0.003610110,0.151933702,0.022642900
01013,36474,RED LEVEL,AL,0.000511291,0.000000000,0.000000000,0.000454373
01013,36033,GEORGIANA,AL,0.189262889,0.074007220,0.331491713,0.183491102
01013,36042,HONORAVILLE,AL,0.028291400,0.003610110,0.002762430,0.025520600
01013,36015,CHAPMAN,AL,0.000000000,0.000902527,0.000000000,0.000075729
01013,36456,MC KENZIE,AL,0.065104389,0.018953100,0.085635359,0.061794800
01013,36030,FOREST HOME,AL,0.030847900,0.018050500,0.000000000,0.028928400
01015,35905,GADSDEN,AL,0.004967420,0.002756420,0.001412430,0.004701190
01015,36207,ANNISTON,AL,0.156392795,0.119686639,0.200564972,0.153891610
01015,36201,ANNISTON,AL,0.169319890,0.286087335,0.134887006,0.179249123
01015,36203,OXFORD,AL,0.127767460,0.209923110,0.203389831,0.136610156
01015,36260,EASTABOGA,AL,0.020724600,0.008414300,0.004237290,0.019303800
01015,36206,ANNISTON,AL,0.084549394,0.064413173,0.080508475,0.082651574
01015,35096,LINCOLN,AL,0.002491080,0.000435224,0.000000000,0.002258670
01015,36279,WELLINGTON,AL,0.020400300,0.005512840,0.004237290,0.018752200
01015,36202,ANNISTON,AL,0.028448500,0.079646018,0.001412430,0.032580000
01015,36253,BYNUM,AL,0.000000000,0.000290149,0.000000000,0.000026264
01015,36265,JACKSONVILLE,AL,0.160844315,0.080806615,0.206920904,0.154456278
01015,36205,ANNISTON,AL,0.014666400,0.013637000,0.047316400,0.015180400
01015,36277,WEAVER,AL,0.039311900,0.007108660,0.016949200,0.035981100
01015,36271,OHATCHEE,AL,0.049615300,0.014362400,0.010593200,0.045698700
01015,36257,DE ARMANVILLE,AL,0.006131890,0.003336720,0.000706215,0.005777990
01015,36204,ANNISTON,AL,0.010716100,0.013637000,0.000706215,0.010794300
01015,36272,PIEDMONT,AL,0.073052092,0.064268098,0.054378500,0.071909758
01015,36250,ALEXANDRIA,AL,0.030600500,0.025533100,0.031779700,0.030163800
01015,36254,CHOCCOLOCCO,AL,0.000000000,0.000145075,0.000000000,0.000013132
01017,36276,WADLEY,AL,0.010087800,0.004817620,0.000000000,0.009561200
01017,36850,CAMP HILL,AL,0.009381600,0.005505850,0.005390840,0.009053100
01017,36854,VALLEY,AL,0.336225159,0.363386098,0.226415094,0.336166282
01017,36863,LANETT,AL,0.359880964,0.376462491,0.409703504,0.361847575
01017,36855,FIVE POINTS,AL,0.049984900,0.020646900,0.032345000,0.047713600
01017,36801,OPELIKA,AL,0.007717140,0.001376460,0.002695420,0.007205540
01017,36862,LAFAYETTE,AL,0.178099465,0.190640055,0.299191375,0.181016166
01017,36879,WAVERLY,AL,0.016897000,0.006882310,0.008086300,0.016073900
01017,36274,ROANOKE,AL,0.017502300,0.015141100,0.008086300,0.017182400
01017,36852,CUSSETA,AL,0.014223700,0.015141100,0.008086300,0.014180100
01019,35984,MENTONE,AL,0.011463800,0.000000000,0.021276600,0.010923200
01019,35959,CEDAR BLUFF,AL,0.202239746,0.081081081,0.202127660,0.195322143
01019,35973,GAYLESVILLE,AL,0.109734279,0.028108100,0.021276600,0.104048383
01019,35961,COLLINSVILLE,AL,0.019415500,0.009729700,0.000000000,0.018637400
01019,35967,FORT PAYNE,AL,0.011728800,0.005405410,0.000000000,0.011231800
01019,35960,CENTRE,AL,0.393015705,0.718918919,0.601063830,0.414033572
01019,35903,GADSDEN,AL,0.003379500,0.001081080,0.000000000,0.003209080
01019,35983,LEESBURG,AL,0.145384666,0.112432432,0.117021277,0.143174525
01019,36272,PIEDMONT,AL,0.100921079,0.036756800,0.037234000,0.096519378
01019,35901,GADSDEN,AL,0.002716850,0.005405410,0.000000000,0.002838810
01019,36275,SPRING GARDEN,AL,0.000000000,0.001081080,0.000000000,0.000061713
01021,35171,THORSBY,AL,0.068343032,0.037329500,0.051724100,0.066507368
01021,36051,MARBURY,AL,0.011850700,0.002153630,0.000000000,0.011230600
01021,35045,CLANTON,AL,0.326678843,0.684852836,0.597701149,0.348426922
01021,35040,CALERA,AL,0.022257100,0.005743000,0.034482800,0.021425700
01021,36006,BILLINGSLEY,AL,0.008834900,0.005743000,0.022988500,0.008761400
01021,35085,JEMISON,AL,0.190162681,0.101220388,0.097701149,0.184587814
01021,36792,RANDOLPH,AL,0.010788800,0.004307250,0.000000000,0.010354400
01021,36790,STANTON,AL,0.005564290,0.000717875,0.000000000,0.005256870
01021,36091,VERBENA,AL,0.087202141,0.040201000,0.040229900,0.084269215
01021,36750,MAPLESVILLE,AL,0.064350338,0.040918900,0.051724100,0.062962963
01021,35046,CLANTON,AL,0.132013762,0.063890883,0.040229900,0.127598566
01021,35115,MONTEVALLO,AL,0.055982700,0.005025130,0.051724100,0.053126200
01021,36793,LAWLEY,AL,0.005139530,0.002871500,0.011494300,0.005057750
01021,36758,PLANTERSVILLE,AL,0.010831200,0.005025130,0.000000000,0.010434100
01023,36910,JACHIN,AL,0.005511090,0.004008020,0.000000000,0.005396790
01023,36913,MELVIN,AL,0.003674060,0.006012020,0.000000000,0.003802280
01023,36919,SILAS,AL,0.144862879,0.080160321,0.000000000,0.140316448
01023,36912,LISMAN,AL,0.143025850,0.014028100,0.030303000,0.134674353
