doe2code,U-value,Eff-R-value,,,
ecwf00,0.455,2.2,,,
ecwf03,0.2,5,,,
ecwf06,0.132,7.6,,,
ecwf09,0.1,10,,,
ecwf11,0.092,10.9,,,
ecwf13,0.082,12.2,,,
ecwf15,0.072,13.9,,,
ecwf19,0.052,19.2,,,
ecwf21,0.047,21.3,,,
ecwf25,0.039,25.6,,,
ecwf30,0.033,30.3,,,
ecwf35,0.029,34.9,,,
ecwf38,0.026,38.5,,,
ecwf44,0.023,43.5,,,
ecwf49,0.02,50,,,
ecwf55,0.018,54.5,,,
ecwf60,0.017,58.8,,,
