doe2code,U-value,Eff-R-value
iwwf00,0.299,3.3
iwwf03,0.159,6.3
iwwf07,0.103,9.7
iwwf11,0.084,11.9
iwwf13,0.076,13.2
iwwf15,0.069,14.5
iwwf19,0.056,17.9
iwwf21,0.050,19.9
