abbreviation,electric ($/kWh),natural_gas ($/therm),lpg ($/gallon),fuel_oil ($/gallon),cord_wood ($/cord),pellet_wood ($/lb)
AL,0.108,1.554,1.92,1.85,141,0.058
AK,0.194,1.132,2.35,2.29,189,0.078
AZ,0.105,1.275,2.2,2.42,189,0.078
AR,0.089,1.212,1.82,1.9,141,0.058
CA,0.176,1.368,2.17,2.46,189,0.078
CO,0.106,0.675,1.68,2.12,189,0.078
CT,0.195,1.426,2.84,2.06,113,0.046
DE,0.108,1.244,2.28,2.42,141,0.058
FL,0.097,2.082,3.08,2.27,141,0.058
GA,0.103,1.504,2.33,2.23,141,0.058
HI,0.26,3.965,3.64,2.38,189,0.078
ID,0.085,0.655,1.83,2.18,189,0.078
IL,0.112,0.765,1.38,2.23,142,0.058
IN,0.11,0.817,1.68,2.25,142,0.058
IA,0.107,0.73,1.15,2.04,142,0.058
KS,0.11,0.906,1.32,2.24,142,0.058
KY,0.093,1.061,1.88,2.21,141,0.058
LA,0.083,1.192,2.12,1.86,141,0.058
ME,0.144,1.431,2.45,2.1,113,0.046
MD,0.112,1.256,2.55,2.55,141,0.058
MA,0.189,1.428,2.98,2.11,113,0.046
MI,0.14,0.778,1.6,2.13,142,0.058
MN,0.113,0.765,1.37,2.64,142,0.058
MS,0.096,1.12,2.04,1.91,141,0.058
MO,0.096,1.017,1.39,2.19,142,0.058
MT,0.097,0.673,1.54,2.06,189,0.078
NE,0.093,0.754,1.19,2.01,142,0.058
NV,0.097,0.999,2.17,2.45,189,0.078
NH,0.163,1.42,2.45,2.09,113,0.046
NJ,0.138,0.953,2.76,2.37,113,0.046
NM,0.111,0.684,1.9,1.87,189,0.078
NY,0.158,1.238,2.4,2.18,113,0.046
NC,0.098,1.281,2.49,2.18,141,0.058
ND,0.09,0.636,1.25,2.2,142,0.058
OH,0.106,0.89,1.94,2.15,142,0.058
OK,0.087,0.884,1.43,2.19,141,0.058
OR,0.096,1.033,1.99,2.29,189,0.078
PA,0.117,1.104,2.09,2.44,113,0.046
RI,0.189,1.463,2.99,2.18,113,0.046
SC,0.11,1.308,2.63,2.27,141,0.058
SD,0.101,0.661,1.32,2.19,142,0.058
TN,0.092,0.86,1.81,2.25,141,0.058
TX,0.101,1.138,1.99,1.89,141,0.058
UT,0.09,0.781,1.74,2.18,189,0.078
VT,0.168,1.269,2.42,2.28,113,0.046
VA,0.103,1.201,2.59,2.31,141,0.058
WA,0.085,1.011,1.87,2.44,189,0.078
WV,0.101,0.927,2.61,2.27,141,0.058
WI,0.123,0.717,1.34,2.03,142,0.058
WY,0.095,0.822,1.67,2.14,189,0.078
DC,0.108,1.154,2.57,2.44,141,0.058
