abbreviation,electric (lb/kWh),natural_gas (lb/kBtu),lpg (lb/kBtu),fuel_oil (lb/kBtu),cord_wood (lb/kBtu),pellet_wood (lb/kBtu)
AL,0.86,0.117,0.139,0.163,0.002,0.002
AK,0.961,0.117,0.139,0.163,0.002,0.002
AZ,0.847,0.117,0.139,0.163,0.002,0.002
AR,0.74,0.117,0.139,0.163,0.002,0.002
CA,0.513,0.117,0.139,0.163,0.002,0.002
CO,1.145,0.117,0.139,0.163,0.002,0.002
CT,0.528,0.117,0.139,0.163,0.002,0.002
DE,0.652,0.117,0.139,0.163,0.002,0.002
FL,0.835,0.117,0.139,0.163,0.002,0.002
GA,0.86,0.117,0.139,0.163,0.002,0.002
HI,1.515,0.117,0.139,0.163,0.002,0.002
ID,0.6,0.117,0.139,0.163,0.002,0.002
IL,1.481,0.117,0.139,0.163,0.002,0.002
IN,0.985,0.117,0.139,0.163,0.002,0.002
IA,0.98,0.117,0.139,0.163,0.002,0.002
KS,0.954,0.117,0.139,0.163,0.002,0.002
KY,0.834,0.117,0.139,0.163,0.002,0.002
LA,0.74,0.117,0.139,0.163,0.002,0.002
ME,0.528,0.117,0.139,0.163,0.002,0.002
MD,0.652,0.117,0.139,0.163,0.002,0.002
MA,0.528,0.117,0.139,0.163,0.002,0.002
MI,1.153,0.117,0.139,0.163,0.002,0.002
MN,0.98,0.117,0.139,0.163,0.002,0.002
MS,0.74,0.117,0.139,0.163,0.002,0.002
MO,1.481,0.117,0.139,0.163,0.002,0.002
MT,0.6,0.117,0.139,0.163,0.002,0.002
NE,0.98,0.117,0.139,0.163,0.002,0.002
NV,0.6,0.117,0.139,0.163,0.002,0.002
NH,0.528,0.117,0.139,0.163,0.002,0.002
NJ,0.652,0.117,0.139,0.163,0.002,0.002
NM,0.847,0.117,0.139,0.163,0.002,0.002
NY,0.635,0.117,0.139,0.163,0.002,0.002
NC,0.623,0.117,0.139,0.163,0.002,0.002
ND,0.98,0.117,0.139,0.163,0.002,0.002
OH,0.985,0.117,0.139,0.163,0.002,0.002
OK,0.932,0.117,0.139,0.163,0.002,0.002
OR,0.6,0.117,0.139,0.163,0.002,0.002
PA,0.652,0.117,0.139,0.163,0.002,0.002
RI,0.528,0.117,0.139,0.163,0.002,0.002
SC,0.623,0.117,0.139,0.163,0.002,0.002
SD,0.98,0.117,0.139,0.163,0.002,0.002
TN,0.834,0.117,0.139,0.163,0.002,0.002
TX,0.819,0.117,0.139,0.163,0.002,0.002
UT,0.6,0.117,0.139,0.163,0.002,0.002
VT,0.528,0.117,0.139,0.163,0.002,0.002
VA,0.623,0.117,0.139,0.163,0.002,0.002
WA,0.6,0.117,0.139,0.163,0.002,0.002
WV,0.985,0.117,0.139,0.163,0.002,0.002
WI,0.98,0.117,0.139,0.163,0.002,0.002
WY,0.6,0.117,0.139,0.163,0.002,0.002
DC,0.623,0.117,0.139,0.163,0.002,0.002
